PassengerId,Survived,Pclass,Sex,Age
1174,1,3,female,
1175,1,3,female,9
1176,1,3,female,2
1177,0,3,male,36
1178,0,3,male,
1179,0,1,male,24
1180,0,3,male,
1181,0,3,male,
1182,0,1,male,
1183,1,3,female,30
1184,0,3,male,
1185,0,1,male,53
1186,0,3,male,36
1187,0,3,male,26
1188,1,2,female,1
1189,0,3,male,
1190,0,1,male,30
1191,0,3,male,29
1192,0,3,male,32
1193,0,2,male,
1194,0,2,male,43
1195,0,3,male,24
1196,1,3,female,
1197,1,1,female,64
1198,0,1,male,30
1199,0,3,male,0.83
1200,0,1,male,55
1201,1,3,female,45
1202,0,3,male,18
1203,0,3,male,22
1204,0,3,male,
1205,1,3,female,37
1206,1,1,female,55
1207,1,3,female,17
1208,0,1,male,57
1209,0,2,male,19
1210,0,3,male,27
1211,0,2,male,22
1212,0,3,male,26
1213,0,3,male,25
1214,0,2,male,26
1215,0,1,male,33
1216,1,1,female,39
1217,0,3,male,23
1218,1,2,female,12
1219,0,1,male,46
1220,0,2,male,29
1221,0,2,male,21
1222,1,2,female,48
1223,0,1,male,39
1224,0,3,male,
1225,1,3,female,19
1226,0,3,male,27
1227,0,1,male,30
1228,0,2,male,32
1229,0,3,male,39
1230,0,2,male,25
1231,0,3,male,
1232,0,2,male,18
1233,0,3,male,32
1234,0,3,male,
1235,1,1,female,58
1236,0,3,male,
1237,1,3,female,16
1238,0,2,male,26
1239,1,3,female,38
1240,0,2,male,24
1241,1,2,female,31
1242,1,1,female,45
1243,0,2,male,25
1244,0,2,male,18
1245,0,2,male,49
1246,1,3,female,0.17
1247,0,1,male,50
1248,1,1,female,59
1249,0,3,male,
1250,0,3,male,
1251,1,3,female,30
1252,0,3,male,14.5
1253,1,2,female,24
1254,1,2,female,31
1255,0,3,male,27
1256,1,1,female,25
1257,1,3,female,
1258,0,3,male,
1259,1,3,female,22
1260,1,1,female,45
1261,0,2,male,29
1262,0,2,male,21
1263,1,1,female,31
1264,0,1,male,49
1265,0,2,male,44
1266,1,1,female,54
1267,1,1,female,45
1268,1,3,female,22
1269,0,2,male,21
1270,0,1,male,55
1271,0,3,male,5
1272,0,3,male,
1273,0,3,male,26
1274,1,3,female,
1275,1,3,female,19
1276,0,2,male,
1277,1,2,female,24
1278,0,3,male,24
1279,0,2,male,57
1280,0,3,male,21
1281,0,3,male,6
1282,0,1,male,23
1283,1,1,female,51
1284,0,3,male,13
1285,0,2,male,47
1286,0,3,male,29
1287,1,1,female,18
1288,0,3,male,24
1289,1,1,female,48
1290,0,3,male,22
1291,0,3,male,31
1292,1,1,female,30
1293,0,2,male,38
1294,1,1,female,22
1295,0,1,male,17
1296,0,1,male,43
1297,0,2,male,20
1298,0,2,male,23
1299,0,1,male,50
1300,1,3,female,
1301,1,3,female,3
1302,1,3,female,
1303,1,1,female,37
1304,1,3,female,28
1305,0,3,male,
1306,1,1,female,39
1307,0,3,male,38.5
1308,0,3,male,
1309,0,3,male,
